"id_supplier","supplier_name","supplier_description","date_signed_contract","supplier_int","supplier_float"
40,"Постачальник №40","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2017-03-13,1167,0.38
41,"Постачальник №41","Відомий постачальник зоотоварів широкого використання.",2011-08-11,544,0.69
42,"Постачальник №42","Відомий постачальник зоотоварів широкого використання.",2014-05-18,490,0.21
43,"Постачальник №43","Постачальник товарів люкс-класу.",2021-08-07,1645,1.27
44,"Постачальник №44","Відомий постачальник зоотоварів широкого використання.",2023-03-11,1799,2.17
45,"Постачальник №45","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-10-11,905,1.21
46,"Постачальник №46","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-03-12,937,1.12
47,"Постачальник №47","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-12-16,1866,0.4
48,"Постачальник №48","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-08-19,1047,0.47
49,"Постачальник №49","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2010-10-21,923,0.78
50,"Постачальник №50","Відомий постачальник зоотоварів широкого використання.",2010-10-04,956,0.08
51,"Постачальник №51","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2010-02-10,309,0.25
52,"Постачальник №52","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-11-12,1159,0.03
53,"Постачальник №53","Постачальник товарів люкс-класу.",2017-09-22,1845,0.04
54,"Постачальник №54","Постачальник товарів люкс-класу.",2017-08-26,1947,1.37
55,"Постачальник №55","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-11-08,1248,0.23
56,"Постачальник №56","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2020-09-30,166,1.52
57,"Постачальник №57","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-03-28,217,1.55
58,"Постачальник №58","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-01-22,1314,0.58
59,"Постачальник №59","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-12-25,581,0.12
60,"Постачальник №60","Постачальник товарів люкс-класу.",2011-01-09,72,0.22
61,"Постачальник №61","Відомий постачальник зоотоварів широкого використання.",2015-01-16,588,0.38
62,"Постачальник №62","Відомий постачальник зоотоварів широкого використання.",2015-09-13,1599,0.5
63,"Постачальник №63","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-08-17,141,0.33
64,"Постачальник №64","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-04-01,722,1.02
65,"Постачальник №65","Постачальник товарів люкс-класу.",2015-10-18,1889,1.07
66,"Постачальник №66","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-01-25,859,0.3
67,"Постачальник №67","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-10-02,153,0.45
68,"Постачальник №68","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-01-28,294,0.05
69,"Постачальник №69","Постачальник товарів люкс-класу.",2016-05-27,277,0.92
70,"Постачальник №70","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-12-18,1487,2.05
71,"Постачальник №71","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-10-26,41,0.49
72,"Постачальник №72","Відомий постачальник зоотоварів широкого використання.",2019-03-12,431,2.31
73,"Постачальник №73","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-11-23,90,1.01
74,"Постачальник №74","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2023-01-19,316,0.71
75,"Постачальник №75","Відомий постачальник зоотоварів широкого використання.",2013-02-07,1247,0.69
76,"Постачальник №76","Відомий постачальник зоотоварів широкого використання.",2018-11-04,528,1.03
77,"Постачальник №77","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2015-04-18,1140,0.28
78,"Постачальник №78","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-02-09,1630,1.22
79,"Постачальник №79","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2022-07-12,774,0.18
80,"Постачальник №80","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-05-10,747,0.14
81,"Постачальник №81","Постачальник товарів люкс-класу.",2015-03-29,456,0.01
82,"Постачальник №82","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-01-13,598,0.39
83,"Постачальник №83","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2021-08-31,1878,0.37
84,"Постачальник №84","Постачальник товарів люкс-класу.",2012-12-10,1063,0.64
85,"Постачальник №85","Постачальник товарів люкс-класу.",2018-08-12,1183,0.22
86,"Постачальник №86","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-10-17,752,0.33
87,"Постачальник №87","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-04-02,1233,1.1
88,"Постачальник №88","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-11-19,374,0.44
89,"Постачальник №89","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-07-05,1842,0.33
90,"Постачальник №90","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-07-24,34,1.15
91,"Постачальник №91","Відомий постачальник зоотоварів широкого використання.",2021-01-26,516,0.99
92,"Постачальник №92","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-03-09,13,0.55
93,"Постачальник №93","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2011-11-17,69,0.24
94,"Постачальник №94","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-07-23,1919,0.63
95,"Постачальник №95","Відомий постачальник зоотоварів широкого використання.",2012-04-26,755,1.36
96,"Постачальник №96","Відомий постачальник зоотоварів широкого використання.",2012-09-09,409,0.6
97,"Постачальник №97","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-11-28,1332,2.19
98,"Постачальник №98","Постачальник товарів люкс-класу.",2022-07-09,1302,1.53
99,"Постачальник №99","Постачальник товарів люкс-класу.",2010-05-31,1113,0.24
100,"Постачальник №100","Постачальник товарів люкс-класу.",2014-06-26,928,1.03
101,"Постачальник №101","Відомий постачальник зоотоварів широкого використання.",2016-01-17,1006,0.71
102,"Постачальник №102","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-10-09,537,0.26
103,"Постачальник №103","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-10-25,983,0.25
104,"Постачальник №104","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-11-22,291,0.35
105,"Постачальник №105","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2020-07-22,1448,0.95
106,"Постачальник №106","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2017-10-07,1904,0.05
107,"Постачальник №107","Відомий постачальник зоотоварів широкого використання.",2015-05-10,1310,0.78
108,"Постачальник №108","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-03-16,1932,1.67
109,"Постачальник №109","Постачальник товарів люкс-класу.",2012-09-11,671,0.38
110,"Постачальник №110","Постачальник товарів люкс-класу.",2012-09-12,121,0.92
111,"Постачальник №111","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-08-03,1134,0.58
112,"Постачальник №112","Постачальник товарів люкс-класу.",2016-11-07,1182,0.61
113,"Постачальник №113","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2014-10-28,1088,1.62
114,"Постачальник №114","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2014-05-03,1507,0.06
115,"Постачальник №115","Постачальник товарів люкс-класу.",2022-10-29,1934,0.52
116,"Постачальник №116","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-03-07,1501,0.3
117,"Постачальник №117","Відомий постачальник зоотоварів широкого використання.",2015-09-18,480,0.11
118,"Постачальник №118","Постачальник товарів люкс-класу.",2016-02-22,1735,0.64
119,"Постачальник №119","Постачальник товарів люкс-класу.",2014-11-28,67,0.85
120,"Постачальник №120","Постачальник товарів люкс-класу.",2023-01-28,1687,1.02
121,"Постачальник №121","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-09-11,1014,0.12
122,"Постачальник №122","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-12-13,1914,0.95
123,"Постачальник №123","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-12-10,1871,0.49
124,"Постачальник №124","Постачальник товарів люкс-класу.",2016-11-11,1109,0.26
125,"Постачальник №125","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-03-11,165,1.84
126,"Постачальник №126","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-06-19,1672,0.65
127,"Постачальник №127","Відомий постачальник зоотоварів широкого використання.",2010-07-14,1075,0.24
128,"Постачальник №128","Відомий постачальник зоотоварів широкого використання.",2018-11-10,1098,0.08
129,"Постачальник №129","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-07-21,1202,0.96
130,"Постачальник №130","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2023-08-12,1386,0.07
131,"Постачальник №131","Відомий постачальник зоотоварів широкого використання.",2016-02-03,236,1.44
132,"Постачальник №132","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2022-09-24,610,0.45
133,"Постачальник №133","Постачальник товарів люкс-класу.",2017-11-14,330,0.04
134,"Постачальник №134","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2015-11-02,726,0.42
135,"Постачальник №135","Постачальник товарів люкс-класу.",2021-01-05,127,2.05
136,"Постачальник №136","Відомий постачальник зоотоварів широкого використання.",2019-06-26,1996,1.13
137,"Постачальник №137","Відомий постачальник зоотоварів широкого використання.",2013-08-18,212,1.46
138,"Постачальник №138","Відомий постачальник зоотоварів широкого використання.",2020-10-23,686,0.74
139,"Постачальник №139","Відомий постачальник зоотоварів широкого використання.",2023-02-23,1809,1.91
140,"Постачальник №140","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-04-20,1982,1.44
141,"Постачальник №141","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-08-03,814,0.7
142,"Постачальник №142","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-07-20,1334,0.26
143,"Постачальник №143","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-06-29,931,1.57
144,"Постачальник №144","Відомий постачальник зоотоварів широкого використання.",2011-12-13,1768,1.51
145,"Постачальник №145","Відомий постачальник зоотоварів широкого використання.",2013-12-22,878,1.6
146,"Постачальник №146","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-01-20,243,0.53
147,"Постачальник №147","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2015-01-02,1886,1.46
148,"Постачальник №148","Відомий постачальник зоотоварів широкого використання.",2019-08-02,847,0.69
149,"Постачальник №149","Постачальник товарів люкс-класу.",2018-05-27,1816,2.1
150,"Постачальник №150","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-09-11,1137,1.29
151,"Постачальник №151","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-05-19,983,0.79
152,"Постачальник №152","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2011-06-12,619,0.77
153,"Постачальник №153","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-02-06,1927,0.33
154,"Постачальник №154","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2014-04-18,477,1.01
155,"Постачальник №155","Відомий постачальник зоотоварів широкого використання.",2011-04-18,1999,0.12
156,"Постачальник №156","Відомий постачальник зоотоварів широкого використання.",2013-02-22,151,0.28
157,"Постачальник №157","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2015-07-30,666,0.56
158,"Постачальник №158","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-05-01,1638,0.37
159,"Постачальник №159","Відомий постачальник зоотоварів широкого використання.",2017-09-23,767,0.98
160,"Постачальник №160","Відомий постачальник зоотоварів широкого використання.",2015-04-11,160,0.37
161,"Постачальник №161","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-02-06,1415,1.05
162,"Постачальник №162","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2011-04-03,155,1.05
163,"Постачальник №163","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-10-29,426,1.26
164,"Постачальник №164","Постачальник товарів люкс-класу.",2023-06-28,1029,3.24
165,"Постачальник №165","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-12-13,326,0.42
166,"Постачальник №166","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-08-05,1808,0.3
167,"Постачальник №167","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-07-04,1304,0.64
168,"Постачальник №168","Постачальник товарів люкс-класу.",2011-02-17,1824,0.48
169,"Постачальник №169","Відомий постачальник зоотоварів широкого використання.",2022-12-06,789,0.52
170,"Постачальник №170","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-01-13,1591,0.37
171,"Постачальник №171","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-08-25,1867,0.22
172,"Постачальник №172","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-05-07,1956,0.07
173,"Постачальник №173","Відомий постачальник зоотоварів широкого використання.",2014-04-10,1262,0.03
174,"Постачальник №174","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2011-07-18,1788,2.13
175,"Постачальник №175","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-03-04,1363,0.74
176,"Постачальник №176","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-11-15,985,1.1
177,"Постачальник №177","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-05-26,39,0.04
178,"Постачальник №178","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-10-01,822,0.31
179,"Постачальник №179","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2021-08-26,986,0.44
180,"Постачальник №180","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2019-10-21,137,0.46
181,"Постачальник №181","Відомий постачальник зоотоварів широкого використання.",2018-02-15,455,1.06
182,"Постачальник №182","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-07-26,1762,1.26
183,"Постачальник №183","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-11-26,1584,0.35
184,"Постачальник №184","Відомий постачальник зоотоварів широкого використання.",2010-12-23,589,0.87
185,"Постачальник №185","Постачальник товарів люкс-класу.",2010-10-06,1107,0.24
186,"Постачальник №186","Відомий постачальник зоотоварів широкого використання.",2021-12-14,1720,0.2
187,"Постачальник №187","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-10-06,1903,1.11
188,"Постачальник №188","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-03-15,39,0.08
189,"Постачальник №189","Постачальник товарів люкс-класу.",2011-09-10,196,0.75
190,"Постачальник №190","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2015-03-20,1793,0.5
191,"Постачальник №191","Відомий постачальник зоотоварів широкого використання.",2010-12-03,680,0.21
192,"Постачальник №192","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2015-09-05,1310,0.32
193,"Постачальник №193","Відомий постачальник зоотоварів широкого використання.",2011-06-23,1630,0.09
194,"Постачальник №194","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-08-13,500,0.9
195,"Постачальник №195","Постачальник товарів люкс-класу.",2019-12-04,985,1.31
196,"Постачальник №196","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-06-24,1808,2
197,"Постачальник №197","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-03-27,344,0.6
198,"Постачальник №198","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-12-15,1334,1.25
199,"Постачальник №199","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-01-20,459,0.61
200,"Постачальник №200","Постачальник товарів люкс-класу.",2016-04-04,944,1.19
201,"Постачальник №201","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2017-03-10,1044,2.2
202,"Постачальник №202","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-07-05,872,1.31
203,"Постачальник №203","Відомий постачальник зоотоварів широкого використання.",2021-07-14,195,0.27
204,"Постачальник №204","Відомий постачальник зоотоварів широкого використання.",2022-12-27,1885,0.54
205,"Постачальник №205","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-12-14,1188,0.41
206,"Постачальник №206","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-05-25,1076,0.48
207,"Постачальник №207","Відомий постачальник зоотоварів широкого використання.",2017-02-17,876,0.79
208,"Постачальник №208","Відомий постачальник зоотоварів широкого використання.",2014-09-02,534,0.59
209,"Постачальник №209","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-05-22,177,1.65
210,"Постачальник №210","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-01-27,554,0.05
211,"Постачальник №211","Відомий постачальник зоотоварів широкого використання.",2012-09-14,827,0.12
212,"Постачальник №212","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-10-30,84,0.24
213,"Постачальник №213","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-11-08,1547,1.23
214,"Постачальник №214","Відомий постачальник зоотоварів широкого використання.",2017-11-18,633,0.52
215,"Постачальник №215","Відомий постачальник зоотоварів широкого використання.",2023-02-28,1975,0.99
216,"Постачальник №216","Постачальник товарів люкс-класу.",2013-05-18,1416,1.68
217,"Постачальник №217","Відомий постачальник зоотоварів широкого використання.",2022-03-03,1326,0.44
218,"Постачальник №218","Відомий постачальник зоотоварів широкого використання.",2013-11-25,597,0.72
219,"Постачальник №219","Постачальник товарів люкс-класу.",2020-06-05,1901,1.24
220,"Постачальник №220","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-02-03,706,1.28
221,"Постачальник №221","Відомий постачальник зоотоварів широкого використання.",2022-04-09,619,0.57
222,"Постачальник №222","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-03-10,1613,0.62
223,"Постачальник №223","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2015-09-03,1454,1.11
224,"Постачальник №224","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-05-29,710,0.71
225,"Постачальник №225","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-01-22,1785,0.36
226,"Постачальник №226","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-05-31,712,0.06
